Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
BREAST CANCER RESEARCH	1465-5411	1465-542X	ONCOLOGY(SCIE)	5.6	1	57/326	3146
BIOLOGY AND FERTILITY OF SOILS	0178-2762	1432-0789	SOIL SCIENCE(SCIE)	5.6	1	8/48	3147
Ceramics International	0272-8842	1873-3956	"MATERIALS SCIENCE, CERAMICS(SCIE)"	5.6	1	3/33	3148
Immunity & Ageing	1742-4933	1742-4933	GERIATRICS & GERONTOLOGY(SCIE);IMMUNOLOGY(SCIE)	5.6	1	9/73	3149
Environmental Research Letters	1748-9326	1748-9326	ENVIRONMENTAL SCIENCES(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	5.6	1	12/111	3150
IEEE JOURNAL OF SOLID-STATE CIRCUITS	0018-9200	1558-173X	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5.6	1	63/366	3151
EPJ Quantum Technology	2662-4400	2196-0763	"OPTICS(SCIE);PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)"	5.6	1	4/39	3152
COLLOIDS AND SURFACES B-BIOINTERFACES	0927-7765	1873-4367	"BIOPHYSICS(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)"	5.6	1	7/79	3153
Environmental and Sustainability Indicators	2665-9727	2665-9727	ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI)	5.6	1	34/191	3154
Family Business Review	0894-4865	1741-6248	BUSINESS(SSCI)	5.6	1	64/316	3155
Sustainable Energy Grids & Networks	2352-4677	2352-4677	"ENERGY & FUELS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5.6	1	63/366	3156
SCRIPTA MATERIALIA	1359-6462	1872-8456	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	5.6	1	12/96	3157
International Journal on Semantic Web and Information Systems	1552-6283	1552-6291	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	5.6	1	38/258	3158
ELECTROCHIMICA ACTA	0013-4686	1873-3859	ELECTROCHEMISTRY(SCIE)	5.6	1	11/44	3159
Groundwater for Sustainable Development	2352-801X	2352-801X	"ENGINEERING, ENVIRONMENTAL(ESCI);ENVIRONMENTAL SCIENCES(ESCI);WATER RESOURCES(ESCI)"	5.6	1	16/131	3160
International Journal of Precision Engineering and Manufacturing-Green Technology	2288-6206	2198-0810	"ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MECHANICAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)"	5.6	1	22/182	3161
ANIMAL HEALTH RESEARCH REVIEWS	1466-2523	1475-2654	VETERINARY SCIENCES(SCIE)	5.6	1	3/170	3162
CELL PROLIFERATION	0960-7722	1365-2184	CELL BIOLOGY(SCIE)	5.6	2	55/204	3163
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY	1040-8428	1879-0461	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	5.6	1	15/98	3164
SEPARATION AND PURIFICATION REVIEWS	1542-2119	1542-2127	"CHEMISTRY, ANALYTICAL(SCIE);CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE)"	5.6	1	18/111	3165
European Journal of Psychology Applied to Legal Context	1889-1861	1989-4007	"LAW(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	5.5	1	1/434	3166
Assessing Writing	1075-2935	1873-5916	EDUCATION & EDUCATIONAL RESEARCH(SSCI);LINGUISTICS(SSCI)	5.5	1	6/303	3167
JOURNAL OF COMMUNICATION	0021-9916	1460-2466	COMMUNICATION(SSCI)	5.5	1	6/227	3168
Journal of Science Education and Technology	1059-0145	1573-1839	"EDUCATION & EDUCATIONAL RESEARCH(SSCI);EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)"	5.5	1	20/756	3169
MODERN PATHOLOGY	0893-3952	1530-0285	PATHOLOGY(SCIE)	5.5	1	6/90	3170
JOURNAL OF DENTISTRY	0300-5712	1879-176X	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	5.5	1	8/162	3171
PSYCHOLOGICAL MEDICINE	0033-2917	1469-8978	"PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	5.5	1	7/185	3172
PAIN	0304-3959	1872-6623	ANESTHESIOLOGY(SCIE);CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	5.5	1	6/68	3173
Structural Change and Economic Dynamics	0954-349X	1873-6017	ECONOMICS(SSCI)	5.5	1	43/617	3174
CHINA ECONOMIC REVIEW	1043-951X	1873-7781	ECONOMICS(SSCI)	5.5	1	43/617	3175
EUROPEAN JOURNAL OF AGRONOMY	1161-0301	1873-7331	AGRONOMY(SCIE)	5.5	1	12/129	3176
Global Finance Journal	1044-0283	1873-5665	"BUSINESS, FINANCE(SSCI)"	5.5	1	23/241	3177
Journal of the Association for Information Systems	1536-9323	1558-3457	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI)"	5.5	1	19/166	3178
AMERICAN JOURNAL OF CHINESE MEDICINE	0192-415X	1793-6853	"INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE)"	5.5	1	4/45	3179
Molecular Autism	2040-2392	2040-2392	GENETICS & HEREDITY(SCIE);NEUROSCIENCES(SCIE)	5.5	1	20/191	3180
Infectious Diseases of Poverty	2095-5162	2049-9957	INFECTIOUS DISEASES(SCIE);PARASITOLOGY(SCIE);TROPICAL MEDICINE(SCIE)	5.5	1	45685	3181
Molecular Ecology Resources	1755-098X	1755-0998	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE)	5.5	1	21/200	3182
CLINICAL PHARMACOLOGY & THERAPEUTICS	0009-9236	1532-6535	PHARMACOLOGY & PHARMACY(SCIE)	5.5	1	34/352	3183
GENOME RESEARCH	1088-9051	1549-5469	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	5.5	1	20/191	3184
Circulation-Genomic and Precision Medicine	2574-8300	2574-8300	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);GENETICS & HEREDITY(SCIE)	5.5	1	20/191	3185
JOURNAL OF HIGH ENERGY PHYSICS	1029-8479	1029-8479	"PHYSICS, PARTICLES & FIELDS(SCIE)"	5.5	1	6/31	3186
JOURNAL OF PSYCHOPHARMACOLOGY	0269-8811	1461-7285	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE)	5.5	1	26/288	3187
Ocean Engineering	0029-8018	1873-5258	"ENGINEERING, CIVIL(SCIE);ENGINEERING, MARINE(SCIE);ENGINEERING, OCEAN(SCIE);OCEANOGRAPHY(SCIE)"	5.5	1	2/65	3188
Drug Delivery and Translational Research	2190-393X	2190-3948	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)"	5.5	1	34/352	3189
JOURNAL OF GASTROENTEROLOGY	0944-1174	1435-5922	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	5.5	1	21/147	3190
Annals of Intensive Care	2110-5820	2110-5820	CRITICAL CARE MEDICINE(SCIE)	5.5	1	7/62	3191
IEEE Wireless Communications Letters	2162-2337	2162-2345	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)"	5.5	1	40/258	3192
CONSERVATION BIOLOGY	0888-8892	1523-1739	BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE)	5.5	1	3/73	3193
Journal of Chemical Theory and Computation	1549-9618	1549-9626	"CHEMISTRY, PHYSICAL(SCIE);PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE)"	5.5	1	5/39	3194
Transportation Geotechnics	2214-3912	2214-3912	"ENGINEERING, CIVIL(SCIE);ENGINEERING, GEOLOGICAL(SCIE)"	5.5	1	21/183	3195
GLOBAL BIOGEOCHEMICAL CYCLES	0886-6236	1944-9224	"ENVIRONMENTAL SCIENCES(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)"	5.5	1	26/258	3196
MOLECULAR CANCER THERAPEUTICS	1535-7163	1538-8514	ONCOLOGY(SCIE)	5.5	1	60/326	3197
ADVANCES IN ATMOSPHERIC SCIENCES	0256-1530	1861-9533	METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	5.5	1	13/111	3198
MATERIALS CHARACTERIZATION	1044-5803	1873-4189	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE)"	5.5	1	3/37	3199
International Journal of Retail & Distribution Management	0959-0552	1758-6690	BUSINESS(SSCI);MANAGEMENT(SSCI)	5.5	1	83/420	3200
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES	1040-8363	1549-781X	MEDICAL LABORATORY TECHNOLOGY(SCIE)	5.5	1	3/33	3201
Annual Review of Vision Science	2374-4642	2374-4650	NEUROSCIENCES(SCIE);OPHTHALMOLOGY(SCIE)	5.5	1	8/98	3202
Geo-Spatial Information Science	1009-5020	1993-5153	REMOTE SENSING(SCIE)	5.5	1	11/65	3203
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW	0964-8410	1467-8683	"BUSINESS(SSCI);BUSINESS, FINANCE(SSCI);MANAGEMENT(SSCI)"	5.5	1	23/241	3204
CHINESE JOURNAL OF CHEMISTRY	1001-604X	1614-7065	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	5.5	2	61/239	3205
Journal of Global Fashion Marketing	2093-2685	2325-4483	BUSINESS(ESCI)	5.5	1	65/316	3206
ACS Biomaterials Science & Engineering	2373-9878	2373-9878	"MATERIALS SCIENCE, BIOMATERIALS(SCIE)"	5.5	2	20/55	3207
NanoImpact	2452-0748	2452-0748	ENVIRONMENTAL SCIENCES(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)	5.5	1	76/374	3208
Gas Science and Engineering	2949-9097	2949-9089	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)"	5.5	1	40/175	3209
Materials for Renewable and Sustainable Energy	2194-1459	2194-1467	"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)"	5.5	2	135/460	3210
EXPERT REVIEWS IN MOLECULAR MEDICINE	1462-3994	1462-3994	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	5.5	1	58/319	3211
Education and Information Technologies	1360-2357	1573-7608	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	5.4	1	22/756	3212
Studies in Second Language Learning and Teaching	2083-5205	2084-1965	LINGUISTICS(SSCI)	5.4	1	7/303	3213
POLITICAL ANALYSIS	1047-1987	1476-4989	"POLITICAL SCIENCE(SSCI);SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI)"	5.4	1	8/322	3214
Digital Journalism	2167-0811	2167-082X	COMMUNICATION(SSCI)	5.4	1	7/227	3215
PAKISTAN VETERINARY JOURNAL	0253-8318	2074-7764	VETERINARY SCIENCES(SCIE)	5.4	1	4/170	3216
APPLIED GEOGRAPHY	0143-6228	1873-7730	GEOGRAPHY(SSCI)	5.4	1	11/173	3217
REVIEW OF FINANCIAL STUDIES	0893-9454	1465-7368	"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)"	5.4	1	45/617	3218
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY	0749-8063	1526-3231	ORTHOPEDICS(SCIE);SPORT SCIENCES(SCIE);SURGERY(SCIE)	5.4	1	5/139	3219
HUMAN RELATIONS	0018-7267	1741-282X	"MANAGEMENT(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)"	5.4	1	9/271	3220
Body Image	1740-1445	1873-6807	"PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	5.4	1	8/185	3221
SOCIO-ECONOMIC PLANNING SCIENCES	0038-0121	1873-6041	ECONOMICS(SSCI);MANAGEMENT(SSCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)	5.4	1	45/617	3222
Engineering Science and Technology-An International Journal-JESTECH	2215-0986	2215-0986	"ENGINEERING, MULTIDISCIPLINARY(SCIE)"	5.4	1	20/175	3223
Annals of the American Thoracic Society	2329-6933	2325-6621	RESPIRATORY SYSTEM(SCIE)	5.4	1	14/108	3224
Engineering Applications of Computational Fluid Mechanics	1994-2060	1997-003X	"ENGINEERING, MECHANICAL(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE);MECHANICS(SCIE)"	5.4	1	17/171	3225
IEEE Transactions on Emerging Topics in Computing	2168-6750	2168-6750	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)"	5.4	1	42/258	3226
SciPost Physics	2542-4653	2542-4653	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	5.4	1	18/114	3227
BIOINFORMATICS	1367-4803	1367-4811	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	5.4	1	8/86	3228
JOURNAL OF ETHNOPHARMACOLOGY	0378-8741	1872-7573	"CHEMISTRY, MEDICINAL(SCIE);INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PLANT SCIENCES(SCIE)"	5.4	1	5/45	3229
OCEAN & COASTAL MANAGEMENT	0964-5691	1873-524X	OCEANOGRAPHY(SCIE);WATER RESOURCES(SCIE)	5.4	1	3/65	3230
GeroScience	2509-2715	2509-2723	GERIATRICS & GERONTOLOGY(SCIE)	5.4	1	10/73	8171
INORGANIC CHEMISTRY COMMUNICATIONS	1387-7003	1879-0259	"CHEMISTRY, INORGANIC & NUCLEAR(SCIE)"	5.4	1	5/42	8172
JOURNAL OF INFORMATION TECHNOLOGY	0268-3962	1466-4437	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);MANAGEMENT(SSCI)"	5.4	1	20/166	8173
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY	1475-6366	1475-6374	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, MEDICINAL(SCIE)"	5.4	1	12/72	8174
Trauma Violence & Abuse	1524-8380	1552-8324	CRIMINOLOGY & PENOLOGY(SSCI);FAMILY STUDIES(SSCI);SOCIAL WORK(SSCI)	5.4	1	1/94	8175
JOURNAL OF CLINICAL MICROBIOLOGY	0095-1137	1098-660X	MICROBIOLOGY(SCIE)	5.4	1	23/163	8176
IEEE Transactions on Network and Service Management	1932-4537	1932-4537	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	5.4	1	42/258	8177
COMPUTERS & SECURITY	0167-4048	1872-6208	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	5.4	1	42/258	8178
BIOMACROMOLECULES	1525-7797	1526-4602	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, ORGANIC(SCIE);POLYMER SCIENCE(SCIE)"	5.4	1	3/57	8179
Quantum	2521-327X	2521-327X	"PHYSICS, MULTIDISCIPLINARY(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)"	5.4	1	18/114	8180
CHEMICO-BIOLOGICAL INTERACTIONS	0009-2797	1872-7786	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	5.4	1	38/352	8181
Experimental and Computational Multiphase Flow	2661-8869	2661-8877	MECHANICS(ESCI);THERMODYNAMICS(ESCI)	5.4	1	17/171	8182
Journal of Environmental Informatics	1726-2135	1684-8799	ENVIRONMENTAL SCIENCES(SCIE)	5.4	1	79/374	8183
ASTROPHYSICAL JOURNAL	0004-637X	1538-4357	ASTRONOMY & ASTROPHYSICS(SCIE)	5.4	1	17/84	8184
LAB ON A CHIP	1473-0197	1473-0189	"BIOCHEMICAL RESEARCH METHODS(SCIE);CHEMISTRY, ANALYTICAL(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	5.4	1	8/86	8185
Food & Function	2042-6496	2042-650X	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE)	5.4	1	61/319	8186
Virulence	2150-5594	2150-5608	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE)	5.4	1	12/137	8187
Biomimetic Intelligence and Robotics	2097-0242	2667-3797	ROBOTICS(ESCI)	5.4	1	11/48	8188
Thermal Science and Engineering Progress	2451-9049	2451-9049	"ENERGY & FUELS(SCIE);ENGINEERING, MECHANICAL(SCIE);MECHANICS(SCIE);THERMODYNAMICS(SCIE)"	5.4	1	17/171	8189
IEEE TRANSACTIONS ON ENERGY CONVERSION	0885-8969	1558-0059	"ENERGY & FUELS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5.4	1	68/366	8190
PRODUCTION PLANNING & CONTROL	0953-7287	1366-5871	"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)"	5.4	1	15/106	8191
OSTEOPOROSIS INTERNATIONAL	0937-941X	1433-2965	ENDOCRINOLOGY & METABOLISM(SCIE)	5.4	1	32/191	8192
Wiley Interdisciplinary Reviews-Computational Statistics	1939-0068	1939-0068	STATISTICS & PROBABILITY(SCIE)	5.4	1	6/167	8193
Railway Engineering Science	2662-4745	2662-4753	TRANSPORTATION SCIENCE & TECHNOLOGY(ESCI)	5.4	1	18/77	8194
CIRP Journal of Manufacturing Science and Technology	1755-5817	1878-0016	"ENGINEERING, MANUFACTURING(SCIE)"	5.4	1	17/71	8195
Marketing Intelligence & Planning	0263-4503	1758-8049	BUSINESS(SSCI)	5.4	1	68/316	8196
Endoscopic Ultrasound	2303-9027	2226-7190	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	5.4	1	22/147	8197
Expert Opinion on Drug Delivery	1742-5247	1744-7593	PHARMACOLOGY & PHARMACY(SCIE)	5.4	1	38/352	8198
WORLD JOURNAL OF GASTROENTEROLOGY	1007-9327	2219-2840	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	5.4	1	22/147	8199
SAFETY SCIENCE	0925-7535	1879-1042	"ENGINEERING, INDUSTRIAL(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)"	5.4	1	15/106	8200
JOURNAL OF INDUSTRIAL ECOLOGY	1088-1980	1530-9290	"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)"	5.4	1	79/374	8201
INFLAMMATION RESEARCH	1023-3830	1420-908X	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	5.4	1	36/183	8202
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS	0927-7757	1873-4359	"CHEMISTRY, PHYSICAL(SCIE)"	5.4	2	61/185	8203
APPLIED SPECTROSCOPY REVIEWS	0570-4928	1520-569X	INSTRUMENTS & INSTRUMENTATION(SCIE);SPECTROSCOPY(SCIE)	5.4	1	4/44	8204
Progress in Additive Manufacturing	2363-9512	2363-9520	"ENGINEERING, MANUFACTURING(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)"	5.4	1	17/71	8205
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT	0948-3349	1614-7502	"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	5.4	1	79/374	8206
ANNALS OF BIOMEDICAL ENGINEERING	0090-6964	1573-9686	"ENGINEERING, BIOMEDICAL(SCIE)"	5.4	1	26/124	8207
ANNALS OF MATHEMATICS	0003-486X	1939-8980	MATHEMATICS(SCIE)	5.3	1	3/483	8208
COMPUTATIONAL LINGUISTICS	0891-2017	1530-9312	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI)"	5.3	1	8/303	8209
INTERACTIVE LEARNING ENVIRONMENTS	1049-4820	1744-5191	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	5.3	1	23/756	8210
MOLECULAR BIOLOGY AND EVOLUTION	0737-4038	1537-1719	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	5.3	1	7/53	8211
Child Development Perspectives	1750-8592	1750-8606	"PSYCHOLOGY, DEVELOPMENTAL(SSCI)"	5.3	1	10/94	8212
American Economic Journal-Economic Policy	1945-7731	1945-774X	ECONOMICS(SSCI)	5.3	1	47/617	8213
Transport Policy	0967-070X	1879-310X	ECONOMICS(SSCI);TRANSPORTATION(SSCI)	5.3	1	47/617	8214
Operations Management Research	1936-9735	1936-9743	MANAGEMENT(SSCI)	5.3	1	89/420	8215
Marine Life Science & Technology	2096-6490	2662-1746	MARINE & FRESHWATER BIOLOGY(SCIE)	5.3	1	2/119	8216
Pacific-Basin Finance Journal	0927-538X	1879-0585	"BUSINESS, FINANCE(SSCI)"	5.3	1	26/241	8217
CLINICAL ORAL IMPLANTS RESEARCH	0905-7161	1600-0501	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);ENGINEERING, BIOMEDICAL(SCIE)"	5.3	1	9/162	8218
ADDICTION	0965-2140	1360-0443	"PSYCHIATRY(SCIE, SSCI);SUBSTANCE ABUSE(SCIE, SSCI)"	5.3	1	3/58	8219
International Journal of Innovation Studies	2096-2487	2589-2975	MANAGEMENT(ESCI)	5.3	1	89/420	8220
RADIOTHERAPY AND ONCOLOGY	0167-8140	1879-0887	"ONCOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	5.3	1	22/212	8221
INTEGRATED COMPUTER-AIDED ENGINEERING	1069-2509	1875-8835	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)"	5.3	1	22/175	8222
CANADIAN JOURNAL OF CARDIOLOGY	0828-282X	1916-7075	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	5.3	1	41/230	8223
APL Photonics	2378-0967	2378-0967	"OPTICS(SCIE);PHYSICS, APPLIED(SCIE)"	5.3	1	23/125	8224
Journal of Chemical Information and Modeling	1549-9596	1549-960X	"CHEMISTRY, MEDICINAL(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE)"	5.3	1	46/258	8225
MECHANISM AND MACHINE THEORY	0094-114X	1873-3999	"ENGINEERING, MECHANICAL(SCIE)"	5.3	1	26/182	8226
MICROCHIMICA ACTA	0026-3672	1436-5073	"CHEMISTRY, ANALYTICAL(SCIE)"	5.3	1	21/111	8227
Journal of Hospitality & Tourism Research	1096-3480	1557-7554	"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)"	5.3	1	19/139	8228
Spanish Journal of Marketing-ESIC	2444-9695	2444-9709	BUSINESS(ESCI);MANAGEMENT(ESCI)	5.3	1	89/420	8229
BIOSYSTEMS ENGINEERING	1537-5110	1537-5129	"AGRICULTURAL ENGINEERING(SCIE);AGRICULTURE, MULTIDISCIPLINARY(SCIE)"	5.3	1	12/94	8230
IEEE Robotics and Automation Letters	2377-3766	2377-3766	ROBOTICS(SCIE)	5.3	1	12/48	8231
KOREAN JOURNAL OF RADIOLOGY	1229-6929	2005-8330	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	5.3	1	22/212	8232
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	1044-1549	1535-4989	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE)	5.3	1	15/108	8233
International Journal of Critical Infrastructure Protection	1874-5482	2212-2087	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)"	5.3	1	22/175	8234
Frontiers of Physics	2095-0462	2095-0470	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	5.3	1	20/114	8235
ENGINEERING FRACTURE MECHANICS	0013-7944	1873-7315	MECHANICS(SCIE)	5.3	1	20/171	8236
Infectious Diseases and Therapy	2193-8229	2193-6382	INFECTIOUS DISEASES(SCIE)	5.3	1	14/137	8237
PHYSICAL REVIEW D	2470-0010	2470-0029	"ASTRONOMY & ASTROPHYSICS(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)"	5.3	1	18/84	8238
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing	1939-1404	2151-1535	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);GEOGRAPHY, PHYSICAL(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);REMOTE SENSING(SCIE)"	5.3	1	7/67	8239
Quality Assurance and Safety of Crops & Foods	1757-8361	1757-837X	FOOD SCIENCE & TECHNOLOGY(SCIE)	5.3	1	40/181	8240
IEEE JOURNAL OF OCEANIC ENGINEERING	0364-9059	1558-1691	"ENGINEERING, CIVIL(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);ENGINEERING, OCEAN(SCIE);OCEANOGRAPHY(SCIE)"	5.3	1	4/65	8241
HYDROMETALLURGY	0304-386X	1879-1158	METALLURGY & METALLURGICAL ENGINEERING(SCIE)	5.3	1	14/96	8242
INFLAMMOPHARMACOLOGY	0925-4692	1568-5608	IMMUNOLOGY(SCIE);TOXICOLOGY(SCIE)	5.3	1	13/106	8243
American Journal of Medicine	0002-9343	1555-7162	"MEDICINE, GENERAL & INTERNAL(SCIE)"	5.3	1	32/332	8244
QUARTERLY REVIEWS OF BIOPHYSICS	0033-5835	1469-8994	BIOPHYSICS(SCIE)	5.3	1	8/79	8245
Environmental Development	2211-4645	2211-4653	ENVIRONMENTAL SCIENCES(SCIE)	5.3	1	83/374	8246
